Sitename:Mackenzie2017
Location: Latitude:   69.3723145 - Longitude: -134.8810730 - Elevation (masl):    -3.
Principal investigator: 
Ecosystem type: 
File creation date: 2020-08-20T12:11
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
YEAR,GAP,DTIME,DOY,HRMIN,m/s,deg C,deg,m/s,umol/m2/s,umol/m2/s,umol/m2/s,W/m2,W/m2,W/m2,W/m2,W/m2,deg C,cm,deg C,cm,mm,%,kPa,umol/mol,kPa,%,%,W/m2,umol/m2/s,W/m2,W/m2,umol/m2/s,W/m2,W/m2,W/m2,mmol/mol,umol/m2/s,umol/m2/s,umol/mol,m,umol/m2/s,umol/m2/s,%,unitless
 2017,0,193.62490000000000,193,1500,0.35187739156314296,14.389919528537348,61.895925065140950,3.7011393317491637,-6999.0000000000000,-2.7069772552330247,-9999.0000000000000,210.98508596205428,-9999.0000000000000,161.90004213144940,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,46.326112940279742,102.42062683333333,392.48448913384010,0.87729590575558147,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.3910307208525161,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.20912247837649592
 2017,0,193.64572999999999,193,1530,0.33046016859112282,14.582268739427548,56.524839853757328,3.7903977367238140,-2.5291484154361394,-2.5283501465539961,-7.9826888214318563E-004,184.18707911395498,0.38282726789843791,139.09107100806088,-0.13530488868915180,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,45.475886625398175,102.41912651405713,392.47275440132273,0.90234259535301709,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.3462630442969701,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.22040974414576833
 2017,0,193.66656000000000,193,1600,0.34937645656286503,14.666476609971824,58.872448511751131,3.8689599822372047,-2.6347632877908520,-2.6434308054147122,8.6675176238603952E-003,196.80600632480184,0.16753561655411048,169.04272434286227,-1.0362964366960488,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,43.116744526526325,102.41740966666667,392.60020828995459,0.94651755622465295,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.0032547761569468,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.19930365278426462
 2017,0,193.68738999999999,193,1630,0.35450776740314566,15.005464960734059,62.482337264157934,3.7671580585799234,-2.7253647834924846,-2.7270853132370458,1.7205297445611958E-003,216.18020452423559,0.67363835225372626,172.93119956776573,-0.24150732958297294,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,41.702661114517284,102.41770222222223,392.62553801699420,0.99147820478188242,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.9231972039281802,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.20955501283397901
 2017,0,193.70822000000001,193,1700,0.39722332857730430,15.133016582912887,65.723531158331639,4.0691605535197475,-2.4615035585634888,-2.4847383245029739,2.3234765939485289E-002,219.42618222355603,0.25334716750009073,177.48435718929446,-0.81933947334791013,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,39.738052235411971,102.41729411111112,392.96775420899320,1.0333369439910289,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.6514386775480165,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.15120385927515143
 2017,0,193.72905000000000,193,1730,0.38175352638653104,15.046633455064580,63.761541324949086,4.1152093623432666,-2.2151202024872276,-2.2337356471842584,1.8615444697030994E-002,193.43385880445715,-0.17162638239720998,145.02669717776388,-0.48033055415696391,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,39.003400737775010,102.41894322222223,393.24184757259849,1.0401378059281268,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.4921861670841103,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.15016512765884310
 2017,0,193.74987999999999,193,1800,0.36710014988475931,14.995338712904186,61.715580012838139,4.1632429652410048,-2.2130627115826451,-2.2097781355085013,-3.2845760741437562E-003,183.00815010452314,-0.10191326664813576,141.11417052162847,-0.29771115834661621,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,38.531526091759190,102.40312255555556,393.19348669025732,1.0447292328264244,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.3934878949325231,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.15979304795607288
 2017,0,193.77071000000001,193,1830,0.35264541685094719,14.937128929985874,54.631802923862395,3.9721959032557277,-2.4654264667591161,-2.4576688661902906,-7.7576005688255872E-003,185.96590124669018,-0.11567234614791075,150.55952407791315,-0.43169539176714394,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,37.810570306884145,102.40279322222221,393.07928935786879,1.0530280417904938,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.2504071493667777,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.18317718163264116
 2017,0,193.79154000000000,193,1900,0.34837921154254109,14.820948405011222,53.142798157354811,3.8598882857047259,-2.2885494500246306,-2.2931680724547419,4.6186224301114041E-003,169.14582345259376,-0.23094391479527904,128.66133967960542,-0.47689206437503540,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,37.129820674876193,102.39729729429413,393.14725495475710,1.0566146083986971,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.0924193705358114,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.17281691823971437
