Sitename:Mackenzie2017
Location: Latitude:   49.2644081 - Longitude: -123.2553329 - Elevation (masl):     0.
Principal investigator: 
Ecosystem type: 
File creation date: 2020-08-20T18:35
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
YEAR,GAP,DTIME,DOY,HRMIN,m/s,deg C,deg,m/s,umol/m2/s,umol/m2/s,umol/m2/s,W/m2,W/m2,W/m2,W/m2,W/m2,deg C,cm,deg C,cm,mm,%,kPa,umol/mol,kPa,%,%,W/m2,umol/m2/s,W/m2,W/m2,umol/m2/s,W/m2,W/m2,W/m2,mmol/mol,umol/m2/s,umol/m2/s,umol/mol,m,umol/m2/s,umol/m2/s,%,unitless
 2017,0,173.02082999999999,173,030,0.18335816451468306,7.7645673379130926,251.47990087122764,3.0297737628295827,-6999.0000000000000,-0.36531429297875234,-9999.0000000000000,4.5261500728647395,-9999.0000000000000,6.2276136282920040,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,81.043357602013529,101.90235959302326,402.77298800054223,0.19954126553767448,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.3692783189548763,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.3343718812221796E-002
 2017,0,173.04166000000001,173,100,0.17787386730398114,7.7558931308322485,242.66002536577693,2.9440198585178834,-3.0640956987452173E-002,-2.7919153320479183E-002,-2.7218036669729873E-003,-3.5559433321353198,-1.7593204987022906E-002,4.5546990930783604,0.54255181478755232,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,82.776060156732854,101.88880166666667,402.73372281238539,0.18119528909765456,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.5442947216701679,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.0090406985345158E-002
 2017,0,173.06249000000000,173,130,0.10395216764738996,8.0400669521756072,248.53788056253248,1.9814002238996224,7.8139062982245048E-003,1.5971815204702006E-003,6.2167247777543035E-003,-5.9598641198916527,0.57583507890484964,-0.41002240860371569,0.36882102708682024,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,82.326146373355400,101.89517833333333,402.82349141702844,0.18956260227136204,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.6634142663723726,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.16868475303339708
 2017,0,173.08331999999999,173,200,0.11589763601483766,7.7730195787218008,258.04060695124565,2.0373661616174870,0.11645503276551489,8.0871671230353312E-002,3.5583361535161576E-002,-8.0845770467541520,-0.54179636593360803,-1.6219215011654580,6.9978168673622290E-002,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,84.079238136576734,101.92365444444445,403.33667860622381,0.16768162051089613,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.6859818548440249,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.16507728590841103
 2017,0,173.10415000000000,173,230,6.2604985696634322E-002,7.6676304117838754,227.32160144048464,0.82582534695710841,6.8582043337414050E-002,5.6024420091789026E-002,1.2557623245625029E-002,-1.7519002074590335,-0.21392350334290400,0.68899085757003253,0.61686140846044446,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,86.631917636093362,101.93255222222223,403.51770229622912,0.13978753067004965,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.8848043892462591,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.22693182050941707
 2017,0,173.12497999999999,173,300,2.8922069446402503E-002,7.1082639906141480,159.30135856151441,1.2416027494063149,9.1067111000862830E-002,2.3109976605330786E-002,6.7957134395532040E-002,-2.7245366450579764,-1.1375876825483779,-2.5615314375438731,-0.35716276466248481,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,88.841731369361554,101.92608666666668,404.49544509658648,0.11229998838938332,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.7699694945786142,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,3.5797233181420340
 2017,0,173.14581000000001,173,330,0.10870613713132216,7.0806348164876454,266.69864538995847,1.5448731346510585,-1.0378906826696496E-003,-2.2220576468027518E-002,2.1182685785357869E-002,-9.3920754320348188,-5.6235920100940404E-002,-5.9804824780587476,1.2157253386296356,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.035508322710641,101.99320444444444,404.79998337629377,6.9959972897408962E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.1605432107508911,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.23227980369461926
 2017,0,173.16664000000000,173,400,7.7570714632709398E-002,7.1159806315104674,325.47960575914590,0.90878300515275046,9.1664811508451821E-002,9.1646678481811836E-002,1.8133026639991171E-005,-3.5843903592442174,7.1945325922021838E-002,-0.93469914148968924,0.45480545366982889,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,94.304256547781065,102.00785222222223,404.80024406581435,5.7353913529481763E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.3066600492790350,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.24393738938776569
 2017,0,173.18746999999999,173,430,4.6221371535999069E-002,7.0700551689996018,54.261839285622742,0.83932177768748972,-1.0155641979549136E-002,3.4621962295540182E-002,-4.4777604275089318E-002,0.61528533834365151,-9.3488175257409212E-002,0.48894708752687410,-0.39666415256430942,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.301566757584453,102.00248833333333,404.15657032237840,6.7238555187433033E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.1792422239941001,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.19793865252007758
