datetime,DOY,NME_Gapfilled_nmol_m2_s,NEE_Gapfilled_umol_m2_s,NME_est,NME_est_CI,NEE_est,NEE_est_CI,ER_est,ER_est_CI,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,VPD,Tdew,wind_speed,max_wind_speed,wind_dir,u*,TKE,L,(z-d)/L,Hz,AirTC_Avg,AirTC_Max,AirTC_Min,AirTC_Std,RH_Max,RH_Min,RH_Samp,Rain_mm_Tot,NR_Wm2_Avg,NR_Wm2_Max,NR_Wm2_Min,NR_Wm2_Std,PPFD_Avg,PPFD_Max,PPFD_Min,PPFD_Std,Temp_2_5_1,Temp_15_1,Temp_5_1,Temp_2_5_2,Temp_15_2,Temp_5_2,Temp_2_5_3,Temp_15_3,Temp_5_3,VWC_1,Period_1,Probe_1,Active_Layer_1,Table_1,Temp_2,VWC_2,Period_2,Active_Layer_2,Table_2,Zo,PBLH,Minute,Day,Wind_Speed_AWS,Wind_Dir_AWS,Zm,Daytime,Sun_Angle,Z_L,canopy_height,d,Collapse,Polygon,Rim,FarField
2017-06-23 00:00:00-06:00,174,23.77247329,-0.101038371,23.892736,4.3774066,-0.43443763,0.4030199,2.6236582,1.3592975,0.073629888,0,6.368283453,1,12.28622958,0,-0.101038371,1,0.275289159,0,0.023772473,0,250.1735532,279.6067267,3.264283507,5.949036307,14.68916228,0.242304087,0.468688468,-197.9385992,-0.014194806,1,9.79,9.96,9.45,0.142,76.59,71.13,76.36,0,13.15,34.1,-27.35,20.48,131.1,157.7,87.8,22.99,,,,4.009,2.278,9.92,2.65,4.136,6.588,,,,,,4.948,0.11992548,21.42,0.199573991,,0.017552107,1025.800049,0,174,0.998176335,93.45848621,2.792770729,1,8.449197093,-0.014109278,0.117014048,0.077229271,0.042765571,0.577757813,0.262824643,0.116651973
2017-06-23 00:30:00-06:00,174,22.94056423,0.561227887,19.342712,3.9716702,0.26197645,0.3856952,2.6204622,1.2874573,0.0749879,0,-17.66279816,0,2.259226418,1,0.561227887,0,0.050583449,1,0.022940564,0,190.8566947,279.5713129,3.448847735,6.840253942,356.7084223,0.244167863,0.700339462,73.03503273,0.038470579,1,9.05,9.45,8.53,0.244,80.5,75.04,79.76,0,-39.97,-27.35,-50.32,5.891,61.4,87.8,44.04,12.71,,,,3.936,2.34,9.54,2.774,4.195,6.482,,,,,,4.745,0.11992548,21.42,0.199669283,,0.017552107,959.9017105,30,174,1.130393634,86.50800284,2.792770729,1,8.449197093,0.038238782,0.117014048,0.077229271,0.024780456,0.582132248,0.270226126,0.12286117
2017-06-23 01:00:00-06:00,174,25.63356438,0.673105129,17.331612,3.716229,0.5919918,0.29073212,2.6678443,1.1708515,0.108961611,0,-11.51734394,0,1.372131672,1,0.673105129,0,0.030682014,1,0.025633564,0,109.8435308,279.2676539,4.190426792,6.373377173,352.5494265,0.293602914,0.48074664,194.735911,0.014428258,1,7.665,8.53,7.214,0.404,86,79.89,85.3,0,-44.39,-34.45,-52.69,5.19,47.91,55.7,42.58,4.472,,,,3.94,2.462,9.11,2.966,4.328,6.455,,,,,,4.542,0.11992548,21.42,0.199764574,,0.017552107,894.0033722,60,174,1.262610932,79.55751947,2.792770729,1,5.502266326,0.014341324,0.117014048,0.077229271,0.020290289,0.571270241,0.289429591,0.119009879
2017-06-23 01:30:00-06:00,174,25.04140199,0.506379699,18.38143,3.8376172,0.5983122,0.27099034,2.6392128,1.1263562,0.08451115,0,-9.591517961,0,,2,0.506379699,0,-0.024580822,2,0.025041402,0,90.85154751,278.7331761,3.851059189,6.754117505,359.529767,0.258195239,0.502716841,159.0264356,0.017668132,1,6.871,7.215,6.729,0.126,86.7,83.4,84.3,0,-29.8,-10.47,-45.94,12.99,54.73,63.72,46.95,5.279,,,,3.702,2.37,8.49,2.892,4.201,6.18,,,,,,4.329,0.119807058,21.415,0.199859865,,0.017552107,828.1050339,90,174,1.394828231,72.6070361,2.792770729,1,5.502266326,0.017561676,0.117014048,0.077229271,0.02873615,0.565071019,0.286668046,0.119524785
2017-06-23 02:00:00-06:00,174,24.37576074,0.490812381,20.061941,3.9390476,0.73206824,0.24470057,2.642522,1.1239442,0.070018066,0,-8.110601973,0,1.213446525,1,0.490812381,0,0.027110689,1,0.024375761,0,95.59562474,278.5164004,3.49314959,6.164744177,4.55690916,0.234950183,0.491688657,141.7062058,0.019827643,1,6.703,6.792,6.613,0.052,86.4,83.5,85,0,-15.19,-2.027,-25.34,6.731,38.21,55.7,23.63,9.45,,,,3.287,2.06,7.75,2.584,3.832,5.685,,,,,,4.116,0.11968867,21.41,0.199955157,,0.017552107,762.2066956,120,174,1.52704553,65.65655272,2.792770729,1,3.668524285,0.019708175,0.117014048,0.077229271,0.031491373,0.575232684,0.273006015,0.120269928
2017-06-23 02:30:00-06:00,174,33.1670518,0.687077915,22.875263,4.0124226,0.7590974,0.2587577,2.649122,1.2298293,0.034665292,0,-3.549335339,0,1.234978586,0,0.687077915,0,0.027598384,0,0.033167052,1,88.31359227,278.9062589,2.43583688,4.501046276,22.69726979,0.16539423,0.295085428,112.9707673,0.024871036,1,6.952,7.068,6.772,0.097,87.6,84.4,84.4,0,-1.956,1.689,-20.27,3.833,20.33,23.63,16.34,2.098,,,,2.905,1.757,7.14,2.299,3.483,5.23,,,,,,3.91,0.119570318,21.405,0.200050448,,0.017552107,696.3083572,150,174,1.659262828,58.70606935,2.792770729,1,3.668524285,0.02472118,0.117014048,0.077229271,0.029738904,0.601401196,0.246403705,0.122456195
2017-06-23 03:00:00-06:00,174,22.62670765,1.182619452,22.626707,4.787432,1.0413038,0.19946215,2.715752,1.1613073,0.0649717,0,-9.127268427,0,7.087320632,1,1.182619452,0,0.15822644,1,,,10.0160322,279.048686,2.798240998,4.823446818,16.26612476,0.226037375,0.406193559,112.1238726,0.025058892,1,7.042,7.088,6.99,0.033,88.2,84,87.4,0,-33.23,-19.6,-43.92,4.611,11.55,16.34,7.592,2.5,,,,2.689,1.611,6.776,2.17,3.292,4.945,,,,,,3.704,0.119452,21.4,0.20014574,,0.017552107,630.4100189,180,174,1.791480127,51.75558598,2.792770729,1,3.02871372,0.024907905,0.117014048,0.077229271,0.03401817,0.591363089,0.252875443,0.121743299
2017-06-23 03:30:00-06:00,174,23.24429595,0.94941212,23.244295,4.3870473,1.0833097,0.19885504,2.707569,1.1745255,0.048753314,0,-7.432280132,0,3.416913588,0,0.94941212,0,0.076271886,0,,,0,279.1156425,2.533537206,4.648799377,44.24570527,0.195725944,0.305364469,89.41177049,0.031424274,1,6.88,6.99,6.774,0.065,90.6,86.4,90.5,0.1,-31.32,-18.92,-49.66,5.893,4.655,7.592,1.758,1.979,,,,2.594,1.584,6.544,2.175,3.242,4.825,,,,,,3.551,0.119452,21.4,0.200241031,,0.017552107,564.5116806,210,174,1.745206173,45.23985042,2.792770729,1,3.02871372,0.031234934,0.117014048,0.077229271,0.032925359,0.63726929,0.202477508,0.127327843
2017-06-23 04:00:00-06:00,174,18.4423268,1.053261908,18.442327,4.2236967,1.053262,0.18204644,2.7132502,1.1834016,0.012618129,2,,1,,1,,1,0.064296652,1,,,0,279.2293593,2.397444695,5.945407891,41.34841091,0.099543275,1.560614666,17.5999722,0.159642298,1,6.669,6.794,6.578,0.068,92.1,89.4,89.9,0.8,-23.02,-6.081,-38.18,8.61,6.829,10.51,3.946,1.896,,,,2.461,1.5,6.271,2.11,3.121,4.655,,,,,,3.398,0.119452,21.4,0.200336323,,0.017552107,498.6133423,240,174,1.698932219,38.72411486,2.792770729,1,3.596091899,0.158680406,0.117014048,0.077229271,0.037537464,0.633207447,0.21779154,0.111463548
2017-06-23 04:30:00-06:00,174,21.8396232,0.942622745,21.839624,4.739592,1.045209,0.1427133,2.7229903,1.1371858,0.052731128,0,-8.272276836,0,3.192428657,1,0.942622745,0,0.071235219,1,,,0,279.2730873,2.86495819,5.184109452,41.38169723,0.203454636,0.446550399,90.20833226,0.03114679,1,6.559,6.637,6.518,0.028,93.6,89.9,92.9,0.1,-24.35,-12.5,-35.47,4.976,15.84,26.55,7.592,5.926,,,,2.381,1.431,6.055,2.069,3.029,4.522,,,,,,3.287,0.120280958,21.435,0.200431614,,0.017552107,432.715004,270,174,1.652658264,32.2083793,2.792770729,1,3.596091899,0.030959122,0.117014048,0.077229271,0.036460713,0.620043193,0.215947899,0.127548195
2017-06-23 05:00:00-06:00,174,26.55072079,0.760263594,26.550722,5.4100814,0.78716964,0.17957276,2.7110736,1.2164263,0.039328927,1,-7.285545216,1,,2,0.760263594,1,-0.009823228,2,,,0,279.5544519,1.860701667,4.205369859,39.02508794,0.175739597,0.532519367,66.02147651,0.042557364,1,6.668,6.854,6.519,0.122,94.8,92.5,93.1,0,-14.05,3.379,-38.85,13.03,31.61,49.88,17.8,9.2,,,,2.293,1.374,5.833,2.031,2.941,4.395,,,,,,3.176,0.12111163,21.47,0.200526906,,0.017552107,366.8166656,300,174,1.60638431,25.69264373,2.792770729,1,5.359318393,0.042300943,0.117014048,0.077229271,0.040169428,0.610498511,0.219805551,0.129526511
